                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8111,                 3.6766,                 2.5957,                0.42726,                0.66601,                0.42357,                0.16844,                 1.9772,                 1.7417,                 1.4211,              0.0033294,              0.0033294,              0.0033294
                      2,                 2.2512,                 1.6563,                 1.4235,                0.50928,                0.56093,                0.51348,                0.18512,                 2.1657,                 1.5878,                 1.4871,              0.0065968,              0.0065968,              0.0065968
                      3,                 2.1541,                 1.5419,                 1.3603,                0.39917,                0.28325,                0.22267,                0.05539,                 2.8412,                 2.6214,                 1.8773,              0.0097982,              0.0097982,              0.0097982
                      4,                 2.0753,                 1.4404,                  1.313,                0.76922,                0.73484,                0.78075,                 0.2646,                 2.0042,                 1.4238,                 1.3744,               0.009703,               0.009703,               0.009703
                      5,                 1.9935,                 1.3218,                 1.2738,                0.87043,                0.80785,                0.87986,                0.35463,                  1.871,                 1.2642,                 1.3104,               0.009604,               0.009604,               0.009604
                      6,                 1.9499,                 1.2291,                 1.2511,                0.76061,                0.58604,                0.62294,                0.19674,                 2.2918,                 1.6984,                 1.5559,               0.009505,               0.009505,               0.009505
                      7,                 1.8927,                 1.1952,                 1.2288,                0.80296,                0.71353,                 0.7318,                 0.1824,                 2.7249,                 1.2102,                 1.6605,               0.009406,               0.009406,               0.009406
                      8,                 1.8289,                 1.1685,                 1.2022,                0.84284,                0.74537,                0.80054,                 0.2214,                 2.5705,                 1.2054,                 1.5995,               0.009307,               0.009307,               0.009307
                      9,                  1.796,                  1.144,                  1.187,                0.85443,                0.78493,                0.83208,                 0.2324,                 2.6777,                 1.1193,                 1.6931,               0.009208,               0.009208,               0.009208
                     10,                 1.7556,                 1.1395,                 1.1726,                0.90389,                0.82914,                0.90081,                0.33051,                 2.1419,                 1.1465,                 1.3913,               0.009109,               0.009109,               0.009109
                     11,                 1.7311,                 1.1316,                  1.168,                0.92357,                0.84088,                0.91506,                0.42133,                 1.8169,                 1.1551,                 1.2621,                0.00901,                0.00901,                0.00901
                     12,                 1.7149,                 1.1113,                 1.1599,                 0.9193,                0.87068,                0.91845,                0.34149,                 2.1605,                 1.0732,                 1.4142,               0.008911,               0.008911,               0.008911
                     13,                 1.6992,                  1.109,                 1.1513,                0.90049,                 0.8204,                0.88535,                0.29128,                 2.4437,                 1.0965,                 1.5357,               0.008812,               0.008812,               0.008812
                     14,                 1.6814,                 1.0938,                  1.151,                0.91724,                0.88899,                0.93612,                0.38703,                 2.0139,                 1.0096,                 1.3365,               0.008713,               0.008713,               0.008713
                     15,                 1.6672,                  1.084,                 1.1439,                0.92878,                0.88166,                0.93626,                0.38854,                 2.0295,                 1.0495,                 1.3422,               0.008614,               0.008614,               0.008614
                     16,                 1.6525,                 1.0726,                 1.1365,                0.89702,                0.87328,                0.91236,                0.30415,                 2.4279,                 1.0476,                 1.5314,               0.008515,               0.008515,               0.008515
                     17,                 1.6479,                 1.0658,                 1.1341,                0.93104,                0.89052,                 0.9375,                0.36152,                 2.2448,                  0.999,                 1.4371,               0.008416,               0.008416,               0.008416
                     18,                 1.6323,                 1.0631,                 1.1306,                0.93408,                0.90905,                0.94793,                  0.397,                 2.0494,                0.98127,                 1.3539,               0.008317,               0.008317,               0.008317
